rank,scope,template,side,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
79,BNB,wick_reversal,short,6,4.0,0.0,0.0,113,0.11100196463654224,-0.6820364525136948,-0.0011249252773114504,-0.0015249716147455183,0.1390728476821192,1,0.39823008849557523,0.4069964089581376,0.6942345759961679,-0.4218273015608113,-0.0015249716147455183,0.14206128133704735,-0.33890723047377436,-0.001369462428469359,0.1390728476821192,0.008293390723827399,0.00017574287766830565,0.1702127659574468,-2.03060929880704,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
80,OP,wick_reversal,short,12,4.0,0.0,0.0,550,0.5045871559633027,-0.5238644321996955,-0.0006805505762981223,-0.001683495483300157,0.323943661971831,1,0.5072727272727273,0.9893572177382582,0.8017314486915463,-0.458443973300804,-0.001683495483300157,0.5082417582417582,-0.42424708143711287,-0.0015239113432912177,0.5939226519337016,0.10658610575699368,0.0007134917072131319,0.323943661971831,-2.050816339831896,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
81,SOL,vwap_reclaim,short,12,4.0,0.0,0.0,419,0.38832252085264135,-0.48107489513880164,-0.0006077815955467525,-0.0028435784448723744,0.3115942028985507,1,0.4797136038186158,0.9851904418849924,0.551021479500473,0.517112741209965,0.0011488936775079228,0.47107438016528924,-0.23778744684081787,-0.0008150725157742844,0.3993993993993994,-0.3249529015611987,-0.0028435784448723744,0.3115942028985507,-2.0539805134702336,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
82,BTC,vwap_reclaim,short,6,4.0,0.0,0.0,306,0.281508739650414,-0.6632834391058452,-0.0010008913847072698,-0.001414104303836372,0.3,0,0.40522875816993464,0.6426447973095657,0.6756526015795894,-0.3991667477549077,-0.001414104303836372,0.30277777777777776,-0.29381496170800314,-0.0009934432993750075,0.3,-0.15451747032640062,-0.0011569011255322392,0.36551724137931035,-2.05912864401955,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
83,BCH,wick_reversal,long,6,4.0,0.0,0.0,419,0.38976744186046514,-0.4796571187354469,-0.0006075059029695407,-0.001980387549953666,0.16058394160583941,1,0.4892601431980907,0.9383327788002649,0.6806685494543098,-0.5052658068250031,-0.001980387549953666,0.5887323943661972,0.5927751865373605,0.0013195040442479655,0.32011331444759206,-0.12512352330296272,-0.0009752363525801222,0.16058394160583941,-2.0752487408789797,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
84,BTC,wick_reversal,long,3,4.0,0.0,0.0,127,0.13539445628997868,-0.4649015361664589,-0.0006664137799070602,-0.002222332081751266,0.10658307210031348,1,0.49606299212598426,0.617882386470865,0.5629262914508566,-0.5420093909515131,-0.002222332081751266,0.2022792022792023,0.17175247861815168,0.0004969901456317594,0.10658307210031348,-0.022890847989310847,-0.0005512030691726677,0.23809523809523808,-2.0782643841570274,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
85,LTC,vwap_reclaim,short,12,4.0,0.0,0.0,306,0.2851817334575955,-0.555997496420861,-0.0007564007164889697,-0.0012920544300181191,0.16216216216216217,0,0.4477124183006536,0.9340795471667728,0.7673481372136769,-0.11881805034360127,-0.0003503296121717403,0.32132963988919666,-0.3688860127314981,-0.0012920544300181191,0.3848314606741573,-0.006559199332770271,-5.928477782768393e-05,0.16216216216216217,-2.089858392457384,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
86,TRX,squeeze_breakout,short,24,4.0,0.0,0.0,535,0.4908256880733945,1.7291689395007364,0.0009215226395591358,-0.0030666278808347824,0.14615384615384616,2,0.42429906542056073,1.2225087825210479,0.8182252993550113,6.976218209410628,0.005800783132519305,0.4623955431754875,-0.6280408927242375,-0.0030666278808347824,0.8322981366459627,0.09731417224066918,0.0007146054588147432,0.14615384615384616,-2.0934516710135354,"atr_ceiling=0.018,atr_floor=0.0015,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
87,SOL,vwap_reclaim,short,6,4.0,0.0,0.0,419,0.38832252085264135,-0.6307875508018492,-0.0009230057026328176,-0.0014637614431605162,0.3115942028985507,0,0.45823389021479716,0.8641507690382929,0.7226210647005965,-0.2446347708345854,-0.0007725771645564761,0.47107438016528924,-0.3819527248155977,-0.0014439724652459685,0.3993993993993994,-0.18302522750183825,-0.0014637614431605162,0.3115942028985507,-2.0970585094535763,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
88,SOL,vwap_reclaim,short,12,4.0,0.0,0.0,530,0.4911955514365153,-0.6080038430746912,-0.00086755972936714,-0.0026505474636301374,0.48467966573816157,1,0.47924528301886793,0.9563024284914919,0.6610894442546259,0.20716044478079865,0.0005187870354494972,0.5564738292011019,-0.2602588962693966,-0.000839355103662065,0.48467966573816157,-0.3085159731167,-0.0026505474636301374,0.4892086330935252,-2.1220051826938815,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
89,BTC,wick_reversal,long,6,4.0,0.0,0.0,127,0.13539445628997868,-0.483921194478818,-0.00070497079559384,-0.002552045202643516,0.10658307210031348,2,0.44881889763779526,0.6521715287365885,0.6305998019383519,-0.592173253050625,-0.002552045202643516,0.2022792022792023,0.03538556210377908,0.00010901497342241662,0.10658307210031348,0.04405984966387333,0.0010271179600116476,0.23809523809523808,-2.124955470544328,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
90,BTC,vwap_reclaim,short,3,4.0,0.0,0.0,306,0.281508739650414,-0.6533178133300988,-0.0009740853508464209,-0.001719550285036342,0.3,0,0.40522875816993464,0.5336695579866756,0.6549477451817078,-0.21920597201418512,-0.0006871079789478873,0.30277777777777776,-0.3833269261952348,-0.0013802359104003736,0.3,-0.2208482174287224,-0.001719550285036342,0.36551724137931035,-2.1254065532593622,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
91,XTZ,wick_reversal,long,24,4.0,0.0,0.0,269,0.2481549815498155,0.7359775930692183,0.0005089585427540122,-0.0030913138779498084,0.10218978102189781,2,0.5204460966542751,1.1855868856754692,0.7322948144814103,2.5751171920434883,0.0035061265186711044,0.36538461538461536,-0.6552924971523943,-0.0030913138779498084,0.23546511627906977,0.07943346453479672,0.0005580851141071541,0.10218978102189781,-2.147184497260715,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
92,BNB,vwap_reclaim,long,12,4.0,0.0,0.0,198,0.18232044198895028,-0.6250076276126795,-0.0009027686802275392,-0.0019593600197723715,0.11016949152542373,1,0.4494949494949495,0.7314760870381675,0.6761499472147767,-0.2435829976727344,-0.0007773090603752086,0.2562674094707521,-0.48161107381209545,-0.0019593600197723715,0.21492537313432836,0.044668829084395956,0.00037040693306100714,0.11016949152542373,-2.1500853409143654,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
93,XLM,vwap_reclaim,long,12,4.0,0.0,0.0,369,0.3458294283036551,-0.6919977290988918,-0.0011030913559206823,-0.0013384351744849532,0.3002754820936639,0,0.47696476964769646,0.8518330737482271,0.7642962941419453,-0.3850272981714511,-0.0013384351744849532,0.3002754820936639,-0.16854163964102142,-0.000511154798796265,0.43213296398891965,-0.16770632244751826,-0.0012739789282277814,0.3680555555555556,-2.161056493803912,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
94,ETH,wick_reversal,long,3,4.0,0.0,0.0,307,0.2839962997224792,-0.6300887373644313,-0.0009195511743843587,-0.0016202007711952904,0.2230769230769231,0,0.48859934853420195,0.7439986123657008,0.6894372725360725,-0.3309886401892309,-0.001144513315730844,0.36182336182336183,-0.4312345368500822,-0.0016202007711952904,0.3936781609195402,-0.00029584190027431845,-2.2760410260946884e-06,0.2230769230769231,-2.175508778507809,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
95,XLM,vwap_reclaim,long,6,4.0,0.0,0.0,369,0.3458294283036551,-0.7338125744980295,-0.0012396757753204701,-0.001451264421020726,0.3002754820936639,0,0.4254742547425474,0.7414466476904807,0.7661339306639858,-0.4097396833047324,-0.001451264421020726,0.3002754820936639,-0.39614759838031877,-0.0013963247262884781,0.43213296398891965,-0.09026099188910208,-0.0006567115266515877,0.3680555555555556,-2.2582787559779143,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
96,COMP,wick_reversal,long,3,4.0,0.0,0.0,501,0.4609015639374425,-0.7097780741124651,-0.0011374477275968298,-0.0018982181223110572,0.2108843537414966,1,0.4630738522954092,0.8150380955589438,0.7755874191144696,-0.49827744622599135,-0.0018982181223110572,0.559228650137741,-0.19075611978775142,-0.0005960334240009413,0.4112676056338028,0.022666491106441367,0.00015248389093458492,0.2108843537414966,-2.2894854544304892,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
97,SOL,wick_reversal,short,24,4.0,0.0,0.0,510,0.47842401500938087,-0.7750866232725538,-0.0013986831653297616,-0.0017391849467397469,0.3,1,0.48823529411764705,0.9747657157512758,0.8132515094380619,0.8136245836411446,0.0016413658863856373,0.465564738292011,-0.45529122261805877,-0.0017391849467397469,0.44126074498567336,-0.12493151635103805,-0.0011114912410105093,0.3,-2.293065188392817,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
98,LTC,vwap_reclaim,short,6,4.0,0.0,0.0,306,0.2851817334575955,-0.6758577165964202,-0.0010493769898436422,-0.00200814319534226,0.16216216216216217,1,0.4444444444444444,0.7950538728290697,0.7443780650049638,-0.5159991232587295,-0.00200814319534226,0.32132963988919666,-0.19977453954129865,-0.0006258202878178798,0.3848314606741573,0.06769431985661045,0.0005902775885986422,0.16216216216216217,-2.2965946360951923,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
99,BTC,vwap_reclaim,long,3,4.0,0.0,0.0,149,0.1544041450777202,-0.6275361555398601,-0.0010229120204978681,-0.0019472570581064996,0.14606741573033707,0,0.348993288590604,0.41785699468391535,0.6377410386913893,-0.45912293965332773,-0.0017248121224132662,0.14606741573033707,-0.08665245825029022,-0.0002567342101673642,0.17847025495750707,-0.2116372577251754,-0.0019472570581064996,0.1557377049180328,-2.304594458114859,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
100,TRX,vwap_reclaim,long,24,4.0,0.0,0.0,136,0.125,-0.6706459038633101,-0.001020271289308039,-0.0016395353403992896,0.061068702290076333,0,0.4632352941176471,0.5263160270985988,0.7128409479778648,-0.44424923191170973,-0.0016395353403992896,0.1424581005586592,-0.2433523170765194,-0.0008446659358040121,0.16363636363636364,-0.056601441945858366,-0.0004446830578678229,0.061068702290076333,-2.307472823463411,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
