rule,removed,2024_delta,2024_removed,2025_delta,2025_removed,2026_delta,2026_removed,sum_delta
dist_ema50 >= 0.02,3,-1208.1681082000007,1,-1468.6401411499999,2,0.0,0,-2676.8082493500006
roc_48 >= 0.01,16,-1813.3042620500003,7,-938.35609355,7,-64.18269529999998,2,-2815.8430509
roc_48 >= 0.01 AND btc_roc_48 >= -0.01,16,-1813.3042620500003,7,-938.35609355,7,-64.18269529999998,2,-2815.8430509
roc_48 >= 0.01 AND btc_ema_50_slope >= -0.01,16,-1813.3042620500003,7,-938.35609355,7,-64.18269529999998,2,-2815.8430509
btc_roc_48 <= 0.0,63,-744.2126209000005,28,-1513.4278811,21,-618.7679123600001,14,-2876.4084143600003
btc_roc_24 <= 0.0,42,-1904.7742690000005,17,-682.3669177999998,20,-291.1142928900001,5,-2878.2554796900004
ema_50_slope <= -0.005,49,-1407.4905144000002,23,-1183.5953799499998,18,-293.87669725,8,-2884.9625915999995
bb_width >= 0.02,21,-2019.4233454500004,13,-847.582345,6,-197.98171475000004,2,-3064.9874052000005
btc_bb_width >= 0.006,73,-1592.5060966000003,31,-1248.7423827999999,27,-858.03217307,15,-3699.28065247
vwap_96_dist <= 0.0,71,-2424.73391515,29,-1333.4592266000004,32,-233.4976347500001,10,-3991.6907765000005
btc_ema_50_slope >= 0.0,51,-1976.2998498,15,-1273.3445335000001,25,-794.5079355300002,11,-4044.1523188300007
roc_24 <= 0.0,37,-3583.6809890000004,9,-922.9323173,22,95.73424494999972,6,-4410.8790613500005
roc_48 <= 0.0,87,-1179.6652748000001,34,-2521.3923096999997,33,-1007.57265351,20,-4708.63023801
bb_width >= 0.012,73,-2006.9158242000003,36,-2587.2093477000003,28,-970.5375173499999,9,-5564.662689250001
bb_width >= 0.015,44,-3040.6382468500005,24,-2102.2014937,17,-484.77856599999984,3,-5627.61830655
bb_width >= 0.01,88,-2222.0838963,43,-2346.75730445,34,-1202.0013135000002,11,-5770.84251425
rsi <= 60,63,-3404.9836677000003,16,-2012.7276117000001,33,-981.4780837999999,14,-6399.1893632
