rank,template,side,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
22,wick_reversal,short,6,4.0,0.0,0.0,6738,6.164684354986276,-0.9999999999999994,-0.012560442190240106,-0.03734410560731538,4.181208053691275,0,0.460522410210745,0.7141100427917554,0.9999999999999998,-0.9999997131246297,-0.03714332867924497,6.717808219178083,-0.9999995803565781,-0.03734410560731538,6.909090909090909,-0.5315299184655087,-0.0050762201423408815,4.181208053691275,-18.86833138010698,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
23,wick_reversal,short,12,4.0,0.0,0.0,6738,6.164684354986276,-1.0,-0.012560442190240106,-0.03734410560731538,4.181208053691275,0,0.4930246363906204,0.7941391188185537,1.0,-0.9999984475862539,-0.0359824241048502,6.717808219178083,-0.9999999441094953,-0.03734410560731538,6.909090909090909,-0.9046311589507667,-0.015648110603285192,4.181208053691275,-18.86833153024714,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
24,wick_reversal,short,24,4.0,0.0,0.0,6738,6.164684354986276,-1.0,-0.012560442190240106,-0.03734410560731538,4.181208053691275,0,0.5008904719501336,0.8610451712087338,1.0,-0.9999949687584282,-0.0328718117675062,6.717808219178083,-0.9999999999880307,-0.03734410560731538,6.909090909090909,-0.46874377398061084,-0.004236041746713548,4.181208053691275,-18.868331566568187,"atr_ceiling=0.02,atr_floor=0.0035,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
25,wick_reversal,long,6,4.0,0.0,0.0,16910,15.457038391224863,-1.0,-0.012549033324075198,-0.037436754775492576,11.793333333333333,0,0.4651685393258427,0.7404753291859533,1.0,-0.9999999999999787,-0.03714332867924497,17.90958904109589,-0.9999999652839182,-0.03724344658460743,15.42032967032967,-0.9967311787995361,-0.037436754775492576,11.793333333333333,-18.870961049918368,"atr_ceiling=0.02,atr_floor=0.002,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
26,vwap_reclaim,short,24,4.0,0.0,0.0,7510,6.877289377289378,-1.0,-0.012571871819585523,-0.039248055794184555,5.406666666666666,0,0.46564580559254326,0.868743632486453,1.0,-0.9992276041826922,-0.019441442929637565,7.906849315068493,-0.999999998370312,-0.03734410560731538,7.707988980716253,-0.9975357157675147,-0.039248055794184555,5.406666666666666,-19.546264853671747,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
27,vwap_reclaim,long,3,4.0,0.0,0.0,10768,9.842778793418647,-1.0,-0.012549033324075198,-0.04046915152049069,8.893333333333333,0,0.3835438335809807,0.5232639002163062,1.0,-0.9999999997881234,-0.03714332867924497,10.838356164383562,-0.9999998241524501,-0.03724344658460743,9.840659340659341,-0.9979637023979152,-0.04046915152049069,8.893333333333333,-19.962623877979983,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
28,squeeze_breakout,long,24,4.0,0.0,0.0,17426,15.94327538883806,-1.0,-0.012560442190240106,-0.04047111491479061,10.673333333333334,0,0.4330311029496155,0.8636746420468603,1.0,-1.0,-0.03714332867924497,18.175342465753424,-0.9999999999999996,-0.03724344658460743,17.846153846153847,-0.9979643273041964,-0.04047111491479061,10.673333333333334,-19.966525182591845,"atr_ceiling=0.018,atr_floor=0.0025,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
29,squeeze_breakout,short,12,4.0,0.0,0.0,19358,17.694698354661792,-1.0,-0.012549033324075198,-0.041316973665591394,13.16,0,0.42054964355821883,0.7985704063025697,1.0,-0.9999999999999994,-0.03714332867924497,19.84109589041096,-0.9999999999998849,-0.03724344658460743,20.425824175824175,-0.9982165714041576,-0.041316973665591394,13.16,-20.267839850353955,"atr_ceiling=0.018,atr_floor=0.0025,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
30,squeeze_breakout,long,12,4.0,0.0,0.0,17426,15.94327538883806,-1.0,-0.012560442190240106,-0.04319741367610486,10.673333333333334,0,0.41736485711006543,0.7881102955321089,1.0,-0.9999999999999889,-0.03714332867924497,18.175342465753424,-1.0,-0.03724344658460743,17.846153846153847,-0.9986715320310662,-0.04319741367610486,10.673333333333334,-20.947992736664975,"atr_ceiling=0.018,atr_floor=0.0025,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
31,squeeze_breakout,long,6,4.0,0.0,0.0,17426,15.94327538883806,-1.0,-0.012560442190240106,-0.045463555333565275,10.673333333333334,0,0.4035923332950763,0.7450889574412743,1.0,-0.9999999999998467,-0.03714332867924497,18.175342465753424,-0.9999999999997907,-0.03724344658460743,17.846153846153847,-0.999069155379647,-0.045463555333565275,10.673333333333334,-21.763803733350628,"atr_ceiling=0.018,atr_floor=0.0025,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
32,wick_reversal,short,12,4.0,0.0,0.0,13340,12.193784277879342,-1.0,-0.012549033324075198,-0.047651758695615,10.12,0,0.47331334332833586,0.738432552685701,1.0,-0.9999999986342649,-0.03714332867924497,12.4,-0.9999999999999893,-0.03724344658460743,13.714285714285714,-0.9993402678960515,-0.047651758695615,10.12,-22.548362461162444,"atr_ceiling=0.02,atr_floor=0.002,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
33,squeeze_breakout,long,3,4.0,0.0,0.0,17426,15.94327538883806,-1.0,-0.012560442190240106,-0.04780477120376758,10.673333333333334,0,0.3858028233673821,0.6686450090947548,1.0,-0.9999999999382949,-0.03714332867924497,18.175342465753424,-0.9999999999999509,-0.03724344658460743,17.846153846153847,-0.9993559788189295,-0.04780477120376758,10.673333333333334,-22.606641446623524,"atr_ceiling=0.018,atr_floor=0.0025,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
34,vwap_reclaim,long,12,4.0,0.0,0.0,10768,9.842778793418647,-1.0,-0.012549033324075198,-0.04834624703321788,8.893333333333333,0,0.4375,0.6962573260565035,1.0,-0.9999999999993028,-0.03714332867924497,10.838356164383562,-0.9999999384099995,-0.03724344658460743,9.840659340659341,-0.9994086498716007,-0.04834624703321788,8.893333333333333,-22.79837826269904,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
35,vwap_reclaim,short,24,4.0,0.0,0.0,10067,9.21043000914913,-1.0,-0.012560442190240106,-0.048386882711104806,7.993333333333333,0,0.461805900466872,0.8629625453086737,1.0,-0.9998917443535013,-0.024706160494443297,10.136986301369863,-0.9999999997699212,-0.03724344658460743,9.788461538461538,-0.9994124254513999,-0.048386882711104806,7.993333333333333,-22.816201589115405,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
36,squeeze_breakout,short,24,4.0,0.0,0.0,31109,28.43601462522852,-1.0,-0.012549033324075198,-0.04938139536381114,26.18,0,0.4336687132341123,0.862145261296414,1.0,-1.0,-0.03714332867924497,30.183561643835617,-0.9999999999987765,-0.03724344658460743,30.392857142857142,-0.9994977193491564,-0.04938139536381114,26.18,-23.171031661713066,"atr_ceiling=0.018,atr_floor=0.0015,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
37,wick_reversal,long,12,4.0,0.0,0.0,16910,15.457038391224863,-1.0,-0.012549033324075198,-0.049476181818300824,11.793333333333333,0,0.4836191602602011,0.8156660844618817,1.0,-0.9999999999994076,-0.03714332867924497,17.90958904109589,-0.9999999993913715,-0.03724344658460743,15.42032967032967,-0.9995051761997821,-0.049476181818300824,11.793333333333333,-23.205154785328965,"atr_ceiling=0.02,atr_floor=0.002,band_pad=0.998,bb_width=0.006,roc_limit=0.035,rsi_fast=32,volume_mult=1.0,wick_atr=0.6,wick_body=1.6"
38,vwap_reclaim,long,24,4.0,0.0,0.0,8145,7.4451553930530165,-1.0,-0.012549033324075198,-0.057367585501963414,6.24,0,0.4594229588704727,0.7794476886019983,1.0,-0.9999999999965641,-0.03714332867924497,8.438356164383562,-0.9999999034444019,-0.03724344658460743,7.876373626373627,-0.9998583046891354,-0.057367585501963414,6.24,-26.054382780549858,"atr_ceiling=0.018,atr_floor=0.0025,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
39,squeeze_breakout,short,6,4.0,0.0,0.0,19358,17.694698354661792,-1.0,-0.012549033324075198,-0.0635729757775284,13.16,0,0.40071288356235146,0.7517810026560712,1.0,-0.9999999999999993,-0.03714332867924497,19.84109589041096,-0.9999999995119396,-0.03724344658460743,20.425824175824175,-0.9999473872784221,-0.0635729757775284,13.16,-28.28000061065128,"atr_ceiling=0.018,atr_floor=0.0025,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
40,squeeze_breakout,short,12,4.0,0.0,0.0,31109,28.43601462522852,-1.0,-0.012549033324075198,-0.0670301096690652,26.18,0,0.4139959497251599,0.7852698757968689,1.0,-1.0,-0.03714332867924497,30.183561643835617,-1.0,-0.03724344658460743,30.392857142857142,-0.9999697904537077,-0.0670301096690652,26.18,-29.524568811604524,"atr_ceiling=0.018,atr_floor=0.0015,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
41,vwap_reclaim,long,24,4.0,0.0,0.0,10768,9.842778793418647,-1.0,-0.012549033324075198,-0.07005334615581593,8.893333333333333,0,0.4515230312035661,0.7594099104000357,1.0,-0.9999999999999959,-0.03714332867924497,10.838356164383562,-0.9999999966414165,-0.03724344658460743,9.840659340659341,-0.999981434552956,-0.07005334615581593,8.893333333333333,-30.612933946834787,"atr_ceiling=0.018,atr_floor=0.0015,macro_pullback=0.045,range_mult=0.8,rsi_reset=38,volume_mult=1.0,vwap_pad=0.0008"
42,squeeze_breakout,short,3,4.0,0.0,0.0,19358,17.694698354661792,-1.0,-0.012549033324075198,-0.0706883151147858,13.16,0,0.38263250335778487,0.6028780392820073,1.0,-0.9999999999999998,-0.03714332867924497,19.84109589041096,-0.9999999999998571,-0.03724344658460743,20.425824175824175,-0.9999832424825292,-0.0706883151147858,13.16,-30.84152277206394,"atr_ceiling=0.018,atr_floor=0.0025,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
43,squeeze_breakout,long,12,4.0,0.0,0.0,28299,25.86745886654479,-1.0,-0.012549033324075198,-0.07829480356735175,21.086666666666666,0,0.40471394748931055,0.7506998247230082,1.0,-1.0,-0.03714332867924497,28.024657534246575,-1.0,-0.03724344658460743,27.48076923076923,-0.999995115665514,-0.07829480356735175,21.086666666666666,-33.579858614987685,"atr_ceiling=0.018,atr_floor=0.0015,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
44,squeeze_breakout,long,6,4.0,0.0,0.0,28300,25.86837294332724,-1.0,-0.012549033324075198,-0.07866692372217654,21.093333333333334,0,0.3848409893992933,0.6843249932595331,1.0,-1.0,-0.03714332867924497,28.024657534246575,-1.0,-0.03724344658460743,27.48076923076923,-0.9999954027362342,-0.07866692372217654,21.093333333333334,-33.713821870724615,"atr_ceiling=0.018,atr_floor=0.0015,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
45,squeeze_breakout,long,3,4.0,0.0,0.0,28300,25.86837294332724,-1.0,-0.012549033324075198,-0.08243113852887296,21.093333333333334,0,0.36056537102473496,0.6013398869104015,1.0,-1.0,-0.03714332867924497,28.024657534246575,-1.0,-0.03724344658460743,27.48076923076923,-0.9999975122883206,-0.08243113852887296,21.093333333333334,-35.06893920113532,"atr_ceiling=0.018,atr_floor=0.0015,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
46,squeeze_breakout,long,24,4.0,0.0,0.0,28298,25.86654478976234,-1.0,-0.012549033324075198,-0.08663379104474866,21.08,0,0.42197328433104814,0.8201305515149199,1.0,-1.0,-0.03714332867924497,28.024657534246575,-1.0,-0.03724344658460743,27.48076923076923,-0.9999987504862177,-0.08663379104474866,21.08,-36.58189410685058,"atr_ceiling=0.018,atr_floor=0.0015,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
47,squeeze_breakout,short,3,4.0,0.0,0.0,31109,28.43601462522852,-1.0,-0.012549033324075198,-0.08798916064409024,26.18,0,0.3598637050371275,0.5624741965987301,1.0,-1.0,-0.03714332867924497,30.183561643835617,-1.0,-0.03724344658460743,30.392857142857142,-0.999999994839784,-0.08798916064409024,26.18,-37.06982716261354,"atr_ceiling=0.018,atr_floor=0.0015,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
48,squeeze_breakout,short,6,4.0,0.0,0.0,31109,28.43601462522852,-1.0,-0.012549033324075198,-0.08798916064409024,26.18,0,0.38715484265003697,0.705015406298444,1.0,-1.0,-0.03714332867924497,30.183561643835617,-0.9999999999999993,-0.03724344658460743,30.392857142857142,-0.9999999413969891,-0.08798916064409024,26.18,-37.06982716261354,"atr_ceiling=0.018,atr_floor=0.0015,roc=0.0015,rsi_max=74,rsi_min=46,slope_tolerance=0.002,squeeze_mult=0.8,volume_z=0.6"
