base,rule,template,side,regime,main_profit_pct,main_trades,losing_main_windows,profitable_main_windows,2023H2_profit_pct,2023H2_trades,2023H2_pf,2024_profit_pct,2024_trades,2024_pf,2025_profit_pct,2025_trades,2025_pf,2026_01_05_profit_pct,2026_01_05_trades,2026_01_05_pf,all_window_profit_pct,all_window_trades,losing_all_windows
1000PEPE,1000PEPE:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,120.51296295010174,296,0,3,27.41278481007381,62,1.319452013953729,34.15960340618054,131,1.1094740587500487,81.02122602231181,138,1.3146290944213932,5.332133521609395,27,1.1492703897027425,147.92574776017554,358,0
ARB,ARB:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,118.22355817013018,256,0,3,-21.94612864546488,60,0.837344012535114,64.27286356361219,121,1.2856568476243477,49.615582419167794,99,1.2633896711564392,4.335112187350187,36,1.0611674106495879,96.2774295246653,316,1
ARB,ARB:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,107.67750552838845,206,0,3,8.081105477851258,40,1.1679208644422014,35.25643378890408,83,1.1643719041419824,23.32338346805041,85,1.134991784642941,49.09768827143397,38,2.176215192544702,115.75861100623972,246,0
UNI,UNI:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,101.35691424718041,577,0,3,-22.752847581396686,115,0.8929364187609405,39.67375465915177,240,1.0794811276775367,14.220178520716953,255,1.025018227179333,47.46298106731168,82,1.3260339780088566,78.60406666578372,692,1
1000PEPE,1000PEPE:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,101.2907406830426,130,0,3,36.04672455536444,19,2.0701852881193625,36.248022980668715,58,1.2559098056418014,11.370728287176712,56,1.0887999213737212,53.671989415197174,16,8.328437492642184,137.33746523840705,149,0
DOT,DOT:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,100.43135145305021,151,0,3,-8.380755904345893,20,0.7818934698680402,35.49489113528237,66,1.2156370685010875,60.79551146558121,57,1.7231363482919881,4.140948852186632,28,1.123687147305095,92.05059554870432,171,1
FET,FET:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,84.38359516947514,116,0,3,46.08664787060172,30,1.8418687221645489,65.69809302380101,52,1.5838100372877082,12.296262554979176,50,1.1344046119514957,6.389239590694951,14,1.1868645180306876,130.47024304007687,146,0
FIL,FIL:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,82.1925177280925,221,0,3,24.656088139769714,33,1.3971105786694615,26.779860005450963,113,1.098768372314586,33.500626895056755,88,1.2110594442187987,21.912030827584772,20,1.71182310064106,106.8486058678622,254,0
UNI,UNI:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,73.10919143390907,215,0,3,13.400969277153107,35,1.304437420590385,58.89198328474063,97,1.317783861454276,5.1630814409161285,81,1.0290547470847047,9.05412670825232,37,1.1639805890417223,86.51016071106218,250,0
SAND,SAND:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,63.67458436718208,230,0,3,11.086806072544997,41,1.1713485572766094,10.08955728530938,97,1.0473359994360412,32.62711983160318,101,1.1616688849010677,20.957907250269514,32,1.4122708309658525,74.76139043972708,271,0
MANA,MANA:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,59.43254894248851,106,0,3,6.209115779222296,19,1.166878042133887,14.049397361150895,37,1.2941355836725026,24.41302924530424,42,1.3891734477815636,20.97012233603337,27,1.639848527111495,65.6416647217108,125,0
ADA,ADA:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,50.87278017981114,111,0,3,35.33128148473921,20,3.3994150543942228,24.24242274231121,32,1.4374116827295889,21.773840839628946,63,1.193522824955106,4.856516597870986,16,1.2017729569264333,86.20406166455035,131,0
UNI,UNI:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,32.97564140249398,122,0,3,-10.070817458428483,20,0.7586099350163303,21.400210825363473,49,1.3012728870380466,2.8484419600049993,57,1.0240463457208646,8.726988617125508,16,1.2938996239420473,22.904823944065498,142,1
