window,base,rule,template,side,regime,hold_5m,leverage,trades,profit_ratio_sum,profit_pct_sum,avg_trade_pct,wins,losses,winrate_pct,profit_factor
2024,GALA,GALA:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,24,4.0,41,0.13294359732330419,13.294359732330419,0.3242526763983029,20,21,48.78048780487805,1.1899335210915338
2025,GALA,GALA:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,24,4.0,44,-0.34550472818948874,-34.550472818948876,-0.7852380186124744,19,25,43.18181818181818,0.651235549042368
2026_01_05,GALA,GALA:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,24,4.0,21,-0.26007106036907457,-26.00710603690746,-1.238433620805117,6,15,28.57142857142857,0.44761064598276085
2023H2,RUNE,RUNE:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,12,4.0,35,-0.054215951418062236,-5.421595141806224,-0.15490271833732067,19,16,54.285714285714285,0.9106531590676249
2024,RUNE,RUNE:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,12,4.0,130,-0.5326786467666276,-53.267864676662754,-0.4097528052050981,65,65,50.0,0.832980459088082
2025,RUNE,RUNE:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,12,4.0,71,0.6444767845078565,64.44767845078565,0.9077137809969811,43,28,60.56338028169014,1.4842773844540733
2026_01_05,RUNE,RUNE:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,12,4.0,27,0.3167577891223825,31.67577891223825,1.1731769967495649,13,14,48.148148148148145,2.03791647886123
2023H2,RUNE,RUNE:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,12,4.0,42,-0.48600568440389047,-48.60056844038905,-1.1571563914378344,19,23,45.23809523809524,0.583803755799723
2024,RUNE,RUNE:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,12,4.0,100,-0.360974717335766,-36.097471733576604,-0.360974717335766,47,53,47.0,0.8392222342442653
2025,RUNE,RUNE:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,12,4.0,58,-0.37120881416397555,-37.12088141639755,-0.6400151968344406,29,29,50.0,0.7622967342293261
