rank,scope,template,side,regime,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
128,BCH,vwap_stretch_reversion,long,market_chop,8,5.0,0.0,0.0,42,0.03951081843838194,0.009820492314910778,9.193442707111643e-06,-0.00026770924410268737,0.03546099290780142,1,0.35714285714285715,1.0681193856436437,0.059186762103763835,-0.029266225978935245,-9.027867660915678e-05,0.0729483282674772,0.03409040715687639,0.0001269861175536846,0.03787878787878788,-0.03704833151374287,-0.00026770924410268737,0.03546099290780142,-0.2538620222383076,"atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=14,volume_mult=0.7,z_entry=2.4"
129,OP,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,27,0.028692879914984058,-0.11070286855312594,-0.00012467221524647965,-0.00044352120048907206,0.031609195402298854,2,0.4074074074074074,0.5877416989192131,0.12376345967888591,0.013666898759348456,3.900751074614739e-05,0.031609195402298854,-0.0763369198751872,-0.00044352120048907206,0.03910614525139665,0.010860428231562302,0.010860428231562302,1.0,-0.26240556337302995,"atr_ceiling=0.018,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=14,volume_mult=0.7,z_entry=1.8"
130,OP,vwap_stretch_reversion,long,market_aligned,12,5.0,0.0,0.0,27,0.028692879914984058,-0.11070286855312594,-0.00012467221524647965,-0.00044352120048907206,0.031609195402298854,2,0.4074074074074074,0.5877416989192131,0.12376345967888591,0.013666898759348456,3.900751074614739e-05,0.031609195402298854,-0.0763369198751872,-0.00044352120048907206,0.03910614525139665,0.010860428231562302,0.010860428231562302,1.0,-0.26240556337302995,"atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=14,volume_mult=0.7,z_entry=1.8"
131,TRX,vwap_stretch_reversion,short,market_chop,8,5.0,0.0,0.0,8,0.011544011544011544,0.002113568341664429,3.046668274997444e-06,-0.00030502642805185776,0.023255813953488372,1,0.125,1.0787300091401824,0.05048210322707081,0.05864136214906379,0.0004418522560167837,0.023255813953488372,-0.04589469931021839,-0.00030502642805185776,0.025974025974025976,0.0,0.0,0.0,-0.2685779355102689,"atr_ceiling=0.018,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
132,TRX,vwap_stretch_reversion,short,market_chop,8,5.0,0.0,0.0,8,0.011544011544011544,0.002113568341664429,3.046668274997444e-06,-0.00030502642805185776,0.023255813953488372,1,0.125,1.0787300091401824,0.05048210322707081,0.05864136214906379,0.0004418522560167837,0.023255813953488372,-0.04589469931021839,-0.00030502642805185776,0.025974025974025976,0.0,0.0,0.0,-0.2685779355102689,"atr_ceiling=0.03,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
133,BCH,vwap_stretch_reversion,short,market_chop,12,5.0,0.0,0.0,74,0.07020872865275142,0.06510522212632441,5.98439104990689e-05,-0.00017317661316806898,0.07038123167155426,2,0.5135135135135135,1.1229605163317395,0.26946847800087415,0.3169747079451328,0.0007915119835284479,0.07758620689655173,-0.05734822580843579,-0.00017317661316806898,0.07038123167155426,0.04590649751625353,0.00042755776846647997,0.08571428571428572,-0.2690126680625063,"atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=14,volume_mult=0.7,z_entry=1.8"
134,BCH,vwap_stretch_reversion,short,market_chop,12,5.0,0.0,0.0,74,0.07020872865275142,0.06510522212632441,5.98439104990689e-05,-0.00017317661316806898,0.07038123167155426,2,0.5135135135135135,1.1229605163317395,0.26946847800087415,0.3169747079451328,0.0007915119835284479,0.07758620689655173,-0.05734822580843579,-0.00017317661316806898,0.07038123167155426,0.04590649751625353,0.00042755776846647997,0.08571428571428572,-0.2690126680625063,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=14,volume_mult=0.7,z_entry=1.8"
135,OP,vwap_stretch_reversion,long,market_aligned,8,5.0,0.0,0.0,12,0.013245033112582781,0.03092105372603382,3.361273882185323e-05,-0.0004937480776896486,0.020114942528735632,1,0.5,1.588331145171433,0.024227738806320898,0.04796490110497209,0.00013463576955285994,0.020114942528735632,-0.013196953011088142,-0.0001925148953901834,0.028985507246376812,-0.0014805129919456261,-0.0004937480776896486,0.6666666666666666,-0.27496152868151674,"atr_ceiling=0.018,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=1.8"
136,OP,vwap_stretch_reversion,long,market_aligned,8,5.0,0.0,0.0,12,0.013245033112582781,0.03092105372603382,3.361273882185323e-05,-0.0004937480776896486,0.020114942528735632,1,0.5,1.588331145171433,0.024227738806320898,0.04796490110497209,0.00013463576955285994,0.020114942528735632,-0.013196953011088142,-0.0001925148953901834,0.028985507246376812,-0.0014805129919456261,-0.0004937480776896486,0.6666666666666666,-0.27496152868151674,"atr_ceiling=0.03,atr_floor=0.0012,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.002,rsi_2=10,volume_mult=0.7,z_entry=1.8"
137,BNB,vwap_stretch_reversion,short,market_aligned,8,5.0,0.0,0.0,14,0.015283842794759825,-0.08049314447364986,-9.160909975947096e-05,-0.00014379061112490543,0.015060240963855422,1,0.42857142857142855,0.3394880736373915,0.0794363613863579,-0.046620192020114914,-0.00014379061112490543,0.015060240963855422,-0.013895593006197027,-6.0574098386001474e-05,0.025974025974025976,0.0027879287104988215,0.0027879287104988215,1.0,-0.27651340250436907,"atr_ceiling=0.018,atr_floor=0.0006,bb_width=0.0025,close_pos=0.35,macro_limit=0.055,min_dist=0.0035,rsi_2=10,volume_mult=0.7,z_entry=1.8"
