base,rule,template,side,regime,main_profit_pct,main_trades,losing_windows,profitable_windows
FET,FET:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,25.734606730919865,637,2,1
1000SHIB,1000SHIB:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,25.23165990082945,189,2,1
MANA,MANA:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,24.771015392387792,373,2,1
HBAR,HBAR:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,24.436938447207517,115,2,1
SAND,SAND:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,23.49862331497112,148,2,1
UNI,UNI:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,22.571871050602795,574,2,1
1000SHIB,1000SHIB:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,21.31219509192519,242,2,1
UNI,UNI:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,20.897845682822734,106,1,2
DOT,DOT:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,20.274041836067802,98,1,2
1000SHIB,1000SHIB:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,19.245619928349605,114,2,1
INJ,INJ:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,17.620974187135026,235,2,1
HBAR,HBAR:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,16.46660099815591,120,1,2
1000SHIB,1000SHIB:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,15.69847752586955,226,2,1
MANA,MANA:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,14.989911621401898,115,2,1
GALA,GALA:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,13.761921887057142,124,1,2
DOT,DOT:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,13.351970182004578,144,1,2
1000SHIB,1000SHIB:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,13.314620532935706,127,1,2
INJ,INJ:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,12.77242480830093,138,2,1
INJ,INJ:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,11.867688411854708,240,1,2
1000PEPE,1000PEPE:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,11.786584779594463,266,2,1
FIL,FIL:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,10.641380481222097,130,1,2
MANA,MANA:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,8.862796246769953,239,1,2
FIL,FIL:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,7.549468753228645,419,1,2
INJ,INJ:micro_momentum:short:market_chop:h18:l5,micro_momentum,short,market_chop,4.181929359321991,397,2,1
ADA,ADA:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,3.1081953922396117,226,2,1
FIL,FIL:rsi_reversion:long:local_chop:h24:l4,rsi_reversion,long,local_chop,2.8117816450178967,266,2,1
SAND,SAND:rsi_reversion:short:local_chop:h24:l4,rsi_reversion,short,local_chop,2.7294108208962093,152,1,2
INJ,INJ:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,1.994802866359883,115,1,2
ALGO,ALGO:vwap_reclaim:long:market_contra:h18:l5,vwap_reclaim,long,market_contra,0.8310052778306982,111,1,2
ADA,ADA:micro_momentum:long:market_chop:h18:l5,micro_momentum,long,market_chop,0.7484949687104887,280,1,2
ADA,ADA:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,0.5534778570450296,125,1,2
