window,strategy,pair,base,side,enter_tag,open_date,close_date,profit_abs,profit_ratio_pct,duration_min,leverage
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,short,s9_07_mkr_range_s_mc_h24_l4,2024-01-01 14:11:00+00:00,2024-01-01 16:11:00+00:00,198.660775,3.9755012641455867,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,short,s9_07_mkr_range_s_mc_h24_l4,2024-01-02 04:41:00+00:00,2024-01-02 06:41:00+00:00,-23.65227685,-0.47328805869317386,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,XTZ/USDT:USDT,XTZ,short,s9_08_xtz_rsi_s_lc_h24_l4,2024-01-02 22:16:00+00:00,2024-01-03 00:16:00+00:00,-132.310048,-2.647535180125142,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,APT/USDT:USDT,APT,long,s11_06_apt_vstretch_l_mchop_h12m_l5,2024-01-03 00:29:00+00:00,2024-01-03 00:41:00+00:00,278.8588097,5.574392366433239,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,OP/USDT:USDT,OP,long,s10_01_op_maoff_l_mc_h12m_l5,2024-01-03 06:10:00+00:00,2024-01-03 06:22:00+00:00,-8.88349429,-0.17758335290505595,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,OP/USDT:USDT,OP,long,s10_01_op_maoff_l_mc_h12m_l5,2024-01-03 07:45:00+00:00,2024-01-03 07:57:00+00:00,-199.08703071,-3.9797797339138143,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,XTZ/USDT:USDT,XTZ,short,s9_08_xtz_rsi_s_lc_h24_l4,2024-01-03 16:06:00+00:00,2024-01-03 18:06:00+00:00,-141.887846,-2.839186090507182,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,LTC/USDT:USDT,LTC,short,s9_16_ltc_vwap_s_lc_h18_l5,2024-01-04 10:01:00+00:00,2024-01-04 11:31:00+00:00,-13.49116048,-0.2699585990314177,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,SOL/USDT:USDT,SOL,short,s9_02_sol_panic_s_mc_h24_l4,2024-01-04 14:26:00+00:00,2024-01-04 16:26:00+00:00,-393.91240005,-7.885172253340518,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,short,s9_07_mkr_range_s_mc_h24_l4,2024-01-04 15:46:00+00:00,2024-01-04 17:46:00+00:00,137.154009,2.7446544127678814,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,SOL/USDT:USDT,SOL,short,s9_02_sol_panic_s_mc_h24_l4,2024-01-04 19:36:00+00:00,2024-01-04 21:36:00+00:00,-29.0692543,-0.581748040357804,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,long,s9_11_mkr_micro_l_mchop_h18_l5,2024-01-05 01:01:00+00:00,2024-01-05 02:31:00+00:00,-140.18643125,-2.8024895572653574,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,OP/USDT:USDT,OP,long,s10_01_op_maoff_l_mc_h12m_l5,2024-01-05 04:10:00+00:00,2024-01-05 04:22:00+00:00,-194.34526169,-3.8850020997250536,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,long,s9_11_mkr_micro_l_mchop_h18_l5,2024-01-06 02:06:00+00:00,2024-01-06 03:36:00+00:00,43.160866,0.8628329617868946,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,long,s9_11_mkr_micro_l_mchop_h18_l5,2024-01-06 04:06:00+00:00,2024-01-06 05:36:00+00:00,-457.8004052,-9.151537154603442,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,short,s9_07_mkr_range_s_mc_h24_l4,2024-01-07 08:46:00+00:00,2024-01-07 10:46:00+00:00,-623.36790075,-12.474301481585135,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,short,s9_07_mkr_range_s_mc_h24_l4,2024-01-07 22:11:00+00:00,2024-01-08 00:11:00+00:00,362.2397828,7.248622356198487,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,AAVE/USDT:USDT,AAVE,long,s9_01_aave_panic_l_mc_h24_l4,2024-01-08 02:21:00+00:00,2024-01-08 04:21:00+00:00,-269.9990625,-5.39751875014097,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,APT/USDT:USDT,APT,long,s11_01_apt_vstretch_l_ma_h12m_l5,2024-01-08 11:44:00+00:00,2024-01-08 11:56:00+00:00,234.5301661,4.6882959486440345,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,XRP/USDT:USDT,XRP,short,s9_10_xrp_rsi_s_mx_h24_l4,2024-01-08 12:06:00+00:00,2024-01-08 14:06:00+00:00,-37.75188748,-0.755416743047961,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,XRP/USDT:USDT,XRP,short,s9_10_xrp_rsi_s_mx_h24_l4,2024-01-08 18:41:00+00:00,2024-01-08 20:41:00+00:00,-92.90242785,-1.8589794551294385,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,SOL/USDT:USDT,SOL,short,s9_02_sol_panic_s_mc_h24_l4,2024-01-09 04:11:00+00:00,2024-01-09 06:11:00+00:00,-217.9857015,-4.362253271161172,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,short,s9_07_mkr_range_s_mc_h24_l4,2024-01-09 15:16:00+00:00,2024-01-09 17:16:00+00:00,119.20800105,2.385463895748175,120,4.0
