rank,scope,template,side,regime,hold,leverage,tp,sl,trades,trades_per_day,total_profit,daily,min_slice_daily,min_slice_trades_per_day,positive_slices,winrate,pf,max_dd,p2024,d2024,tpd2024,p2025,d2025,tpd2025,p2026,d2026,tpd2026,robust_score,params
11,XTZ,panic_snapback,long,market_contra,12,4.0,0.0,0.0,123,0.11495327102803739,2.4398224392093604,0.0011552647988362086,0.0005024706366056897,0.030612244897959183,3,0.6178861788617886,1.6867893733165373,0.30614763658619515,1.3362562908503959,0.002379717161770767,0.20728291316526612,0.3371605114984988,0.0009625435585687292,0.09602649006622517,0.05046167201624785,0.0005024706366056897,0.030612244897959183,0.49191769870971025,"atr_ceiling=0.03,atr_floor=0.001,range_mult=0.85,rsi_fast=28,shock=0.004,volume_z=0.8,wick_body=1.4"
12,XTZ,panic_snapback,long,market_contra,12,4.0,0.0,0.0,123,0.11495327102803739,2.4398224392093604,0.0011552647988362086,0.0005024706366056897,0.030612244897959183,3,0.6178861788617886,1.6867893733165373,0.30614763658619515,1.3362562908503959,0.002379717161770767,0.20728291316526612,0.3371605114984988,0.0009625435585687292,0.09602649006622517,0.05046167201624785,0.0005024706366056897,0.030612244897959183,0.49191769870971025,"atr_ceiling=0.055,atr_floor=0.001,range_mult=0.85,rsi_fast=28,shock=0.004,volume_z=0.8,wick_body=1.4"
13,XTZ,panic_snapback,long,market_contra,12,4.0,0.0,0.0,123,0.11495327102803739,2.4398224392093604,0.0011552647988362086,0.0005024706366056897,0.030612244897959183,3,0.6178861788617886,1.6867893733165373,0.30614763658619515,1.3362562908503959,0.002379717161770767,0.20728291316526612,0.3371605114984988,0.0009625435585687292,0.09602649006622517,0.05046167201624785,0.0005024706366056897,0.030612244897959183,0.49191769870971025,"atr_ceiling=0.03,atr_floor=0.002,range_mult=0.85,rsi_fast=28,shock=0.004,volume_z=0.8,wick_body=1.4"
14,XTZ,panic_snapback,long,market_contra,12,4.0,0.0,0.0,123,0.11495327102803739,2.4398224392093604,0.0011552647988362086,0.0005024706366056897,0.030612244897959183,3,0.6178861788617886,1.6867893733165373,0.30614763658619515,1.3362562908503959,0.002379717161770767,0.20728291316526612,0.3371605114984988,0.0009625435585687292,0.09602649006622517,0.05046167201624785,0.0005024706366056897,0.030612244897959183,0.49191769870971025,"atr_ceiling=0.055,atr_floor=0.002,range_mult=0.85,rsi_fast=28,shock=0.004,volume_z=0.8,wick_body=1.4"
15,LINK,panic_snapback,long,market_contra,12,4.0,0.0,0.0,156,0.14351425942962281,1.2380553874255722,0.000741403828437015,0.0005622615728224645,0.14965986394557823,3,0.5,1.3685702197817202,0.31903580619856975,0.8733977389935628,0.0018372229247747285,0.15204678362573099,0.21810740959418706,0.0005622615728224645,0.18518518518518517,0.09354361827038749,0.0006085078482642725,0.14965986394557823,0.4515494985783879,"atr_ceiling=0.03,atr_floor=0.001,range_mult=0.85,rsi_fast=28,shock=0.007,volume_z=0.8,wick_body=1.4"
16,LINK,panic_snapback,long,market_contra,12,4.0,0.0,0.0,156,0.14351425942962281,1.2380553874255722,0.000741403828437015,0.0005622615728224645,0.14965986394557823,3,0.5,1.3685702197817202,0.31903580619856975,0.8733977389935628,0.0018372229247747285,0.15204678362573099,0.21810740959418706,0.0005622615728224645,0.18518518518518517,0.09354361827038749,0.0006085078482642725,0.14965986394557823,0.4515494985783879,"atr_ceiling=0.055,atr_floor=0.001,range_mult=0.85,rsi_fast=28,shock=0.007,volume_z=0.8,wick_body=1.4"
17,LINK,panic_snapback,long,market_contra,12,4.0,0.0,0.0,156,0.14351425942962281,1.2380553874255722,0.000741403828437015,0.0005622615728224645,0.14965986394557823,3,0.5,1.3685702197817202,0.31903580619856975,0.8733977389935628,0.0018372229247747285,0.15204678362573099,0.21810740959418706,0.0005622615728224645,0.18518518518518517,0.09354361827038749,0.0006085078482642725,0.14965986394557823,0.4515494985783879,"atr_ceiling=0.03,atr_floor=0.002,range_mult=0.85,rsi_fast=28,shock=0.007,volume_z=0.8,wick_body=1.4"
18,LINK,panic_snapback,long,market_contra,12,4.0,0.0,0.0,156,0.14351425942962281,1.2380553874255722,0.000741403828437015,0.0005622615728224645,0.14965986394557823,3,0.5,1.3685702197817202,0.31903580619856975,0.8733977389935628,0.0018372229247747285,0.15204678362573099,0.21810740959418706,0.0005622615728224645,0.18518518518518517,0.09354361827038749,0.0006085078482642725,0.14965986394557823,0.4515494985783879,"atr_ceiling=0.055,atr_floor=0.002,range_mult=0.85,rsi_fast=28,shock=0.007,volume_z=0.8,wick_body=1.4"
19,XRP,rsi_reversion,short,market_extreme,12,4.0,0.0,0.0,59,0.05784313725490196,1.1014472205774304,0.0007283300644396196,0.00022427335153474282,0.06042296072507553,3,0.559322033898305,2.2875795279378184,0.1883650662288402,0.3711061840778582,0.000953982993289193,0.06042296072507553,0.07705035956531958,0.00022427335153474282,0.06042296072507553,0.213572917255487,0.004126978421063132,0.2127659574468085,0.4463129088396085,"atr_ceiling=0.024,atr_floor=0.0006,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
20,XRP,rsi_reversion,short,market_extreme,12,4.0,0.0,0.0,59,0.05784313725490196,1.1014472205774304,0.0007283300644396196,0.00022427335153474282,0.06042296072507553,3,0.559322033898305,2.2875795279378184,0.1883650662288402,0.3711061840778582,0.000953982993289193,0.06042296072507553,0.07705035956531958,0.00022427335153474282,0.06042296072507553,0.213572917255487,0.004126978421063132,0.2127659574468085,0.4463129088396085,"atr_ceiling=0.024,atr_floor=0.0012,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
21,XRP,rsi_reversion,short,market_extreme,12,4.0,0.0,0.0,58,0.056862745098039215,0.7819838159138199,0.0005665596961430541,0.00022427335153474282,0.06042296072507553,3,0.5517241379310345,2.009582027533973,0.1883650662288402,0.16266970971307004,0.000711190675654505,0.08962264150943396,0.07705035956531958,0.00022427335153474282,0.06042296072507553,0.213572917255487,0.004126978421063132,0.2127659574468085,0.4010024998342172,"atr_ceiling=0.014,atr_floor=0.0006,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
22,XRP,rsi_reversion,short,market_extreme,12,4.0,0.0,0.0,58,0.056862745098039215,0.7819838159138199,0.0005665596961430541,0.00022427335153474282,0.06042296072507553,3,0.5517241379310345,2.009582027533973,0.1883650662288402,0.16266970971307004,0.000711190675654505,0.08962264150943396,0.07705035956531958,0.00022427335153474282,0.06042296072507553,0.213572917255487,0.004126978421063132,0.2127659574468085,0.4010024998342172,"atr_ceiling=0.014,atr_floor=0.0012,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
23,XTZ,rsi_reversion,short,local_chop,24,4.0,0.0,0.0,146,0.13468634686346864,1.0480435971974105,0.0006615517497872148,0.0007695496017356973,0.1329639889196676,3,0.547945205479452,1.4398993711949049,0.4517537789457784,0.3200908602411192,0.0007695496017356973,0.1329639889196676,0.46343725954136006,0.0010495530295442368,0.14600550964187328,0.18806851837559124,0.0012143204560950416,0.176056338028169,0.39338235115201825,"atr_ceiling=0.014,atr_floor=0.0006,band_pad=0.998,bb_width=0.0035,macro_limit=0.045,mfi_low=35,rsi_2_long=8,rsi_2_short=92,stoch_low=28,volume_mult=0.7"
