window,pair,base,trades,profit_abs,profit_pct,avg_profit_pct,cagr_pct,wins,losses,winrate_pct,profit_factor,max_drawdown_pct,max_drawdown_abs
2023H2,LTC/USDT:USDT,LTC,33,-36.7232,-0.3672,-0.1108,-0.6344,13,20,39.3939,0.9268,2.0439,207.8867
2023H2,SUI/USDT:USDT,SUI,35,-191.5724,-1.9157,-0.5471,-3.2907,16,19,45.7143,0.7564,4.0003,405.7156
2023H2,DOT/USDT:USDT,DOT,19,-240.0604,-2.4006,-1.2642,-4.1162,7,12,36.8421,0.3659,2.4006,240.0604
2024,MKR/USDT:USDT,MKR,254,1199.6586,11.9966,0.4724,11.9619,132,122,51.9685,1.2808,5.7076,593.2518
2024,SOL/USDT:USDT,SOL,105,1184.5278,11.8453,1.1307,11.8111,59,46,56.1905,1.6886,3.3341,370.8315
2024,XLM/USDT:USDT,XLM,47,1033.2494,10.3325,2.1974,10.3029,27,20,57.4468,2.6128,1.8212,185.0944
2024,AAVE/USDT:USDT,AAVE,52,910.1924,9.1019,1.7498,9.076,31,21,59.6154,1.7461,4.6941,496.8082
2024,UNI/USDT:USDT,UNI,75,576.6885,5.7669,0.7694,5.7507,40,35,53.3333,1.4343,2.4682,267.656
2024,XTZ/USDT:USDT,XTZ,60,560.992,5.6099,0.9356,5.5942,27,33,45.0,1.5725,5.2603,526.031
2024,ETC/USDT:USDT,ETC,37,471.3577,4.7136,1.2733,4.7004,25,12,67.5676,3.7349,0.5277,52.7652
2024,FET/USDT:USDT,FET,128,423.6661,4.2367,0.3309,4.2248,65,63,50.7812,1.124,5.8214,582.1403
2024,COMP/USDT:USDT,COMP,23,403.7492,4.0375,1.7546,4.0262,16,7,69.5652,1.4578,3.2264,326.2862
2024,DOT/USDT:USDT,DOT,59,401.1749,4.0117,0.6804,4.0006,30,29,50.8475,1.4604,3.0145,306.0497
2024,ICP/USDT:USDT,ICP,80,335.5661,3.3557,0.4197,3.3463,44,36,55.0,1.2015,4.3533,450.1208
2024,SUI/USDT:USDT,SUI,57,331.5531,3.3155,0.5814,3.3063,27,30,47.3684,1.1943,4.7696,503.242
2024,NEAR/USDT:USDT,NEAR,101,302.9415,3.0294,0.3002,3.021,57,44,56.4356,1.1281,6.4623,647.5382
2024,APT/USDT:USDT,APT,23,241.0765,2.4108,1.0477,2.4041,13,10,56.5217,2.2016,0.8219,84.2533
2024,LTC/USDT:USDT,LTC,93,198.0234,1.9802,0.213,1.9748,46,47,49.4624,1.1566,3.3528,346.4901
2024,XRP/USDT:USDT,XRP,49,177.41,1.7741,0.3621,1.7692,21,28,42.8571,1.2888,2.1928,225.228
2024,ETH/USDT:USDT,ETH,28,157.6593,1.5766,0.5629,1.5723,11,17,39.2857,1.3658,1.3501,136.2329
2024,DOGE/USDT:USDT,DOGE,46,132.9466,1.3295,0.2888,1.3258,24,22,52.1739,1.2172,1.6323,164.3628
2024,OP/USDT:USDT,OP,75,4.2918,0.0429,0.0057,0.0428,38,37,50.6667,1.0055,1.8923,189.2281
2024,MANA/USDT:USDT,MANA,37,-1.4613,-0.0146,-0.0039,-0.0146,18,19,48.6486,0.9973,3.9032,403.2059
2025,MKR/USDT:USDT,MKR,167,1943.8887,19.4389,1.1645,19.4389,87,80,52.0958,1.6371,5.5142,619.59
2025,ICP/USDT:USDT,ICP,60,918.4844,9.1848,1.5316,9.1848,39,21,65.0,2.0065,2.7132,274.5681
2025,NEAR/USDT:USDT,NEAR,85,801.6928,8.0169,0.9437,8.0169,53,32,62.3529,1.6003,1.3962,152.946
2025,XRP/USDT:USDT,XRP,46,635.7577,6.3576,1.3824,6.3576,26,20,56.5217,2.4867,1.585,168.885
2025,ETH/USDT:USDT,ETH,19,635.2304,6.3523,3.343,6.3523,14,5,73.6842,4.1668,1.1648,125.3418
2025,SOL/USDT:USDT,SOL,92,596.402,5.964,0.6497,5.964,45,47,48.913,1.3374,7.5699,835.426
2025,AAVE/USDT:USDT,AAVE,47,538.2592,5.3826,1.1451,5.3826,27,20,57.4468,1.3613,6.0173,672.7361
2025,OP/USDT:USDT,OP,29,477.395,4.7739,1.6454,4.7739,16,13,55.1724,2.9074,0.5645,57.2677
2025,XTZ/USDT:USDT,XTZ,57,433.6302,4.3363,0.7613,4.3363,31,26,54.386,1.8151,2.4252,243.6907
2025,LTC/USDT:USDT,LTC,119,420.9574,4.2096,0.3538,4.2096,54,65,45.3782,1.3077,3.4056,356.3717
2025,DOT/USDT:USDT,DOT,51,351.7251,3.5173,0.69,3.5173,28,23,54.902,1.4939,1.6867,173.4001
2025,XLM/USDT:USDT,XLM,76,345.2363,3.4524,0.454,3.4524,36,40,47.3684,1.2329,3.677,371.9775
2025,COMP/USDT:USDT,COMP,17,230.3368,2.3034,1.3542,2.3034,9,8,52.9412,1.4455,1.6359,167.0253
2025,ETC/USDT:USDT,ETC,20,183.075,1.8307,0.9149,1.8307,13,7,65.0,2.6117,0.5921,59.4256
2025,FET/USDT:USDT,FET,95,166.4753,1.6648,0.1751,1.6648,48,47,50.5263,1.0815,3.6359,382.5634
2025,SUI/USDT:USDT,SUI,63,99.5762,0.9958,0.158,0.9958,33,30,52.381,1.0796,3.8547,404.9214
2025,DOGE/USDT:USDT,DOGE,12,60.5901,0.6059,0.5049,0.6059,8,4,66.6667,2.3722,0.2625,26.474
2025,MANA/USDT:USDT,MANA,41,50.7939,0.5079,0.1239,0.5079,20,21,48.7805,1.0722,2.9477,294.7656
2025,APT/USDT:USDT,APT,32,-27.8368,-0.2784,-0.0869,-0.2784,14,18,43.75,0.9044,1.2868,129.9984
2025,UNI/USDT:USDT,UNI,76,-280.0372,-2.8004,-0.3687,-2.8004,38,38,50.0,0.8459,6.0495,625.8703
2026_01_05,DOT/USDT:USDT,DOT,30,884.0928,8.8409,2.9485,22.8932,16,14,53.3333,3.9071,0.9892,108.7392
2026_01_05,AAVE/USDT:USDT,AAVE,21,467.0797,4.6708,2.2236,11.7486,12,9,57.1429,2.1204,1.9015,193.6617
2026_01_05,UNI/USDT:USDT,UNI,33,466.2124,4.6621,1.4135,11.7261,16,17,48.4848,2.3053,1.7746,188.718
2026_01_05,XTZ/USDT:USDT,XTZ,25,295.4103,2.9541,1.1819,7.3411,19,6,76.0,2.0417,2.0396,214.3547
2026_01_05,XRP/USDT:USDT,XRP,14,292.0293,2.9203,2.0866,7.2554,11,3,78.5714,7.0336,0.4746,48.4002
2026_01_05,SUI/USDT:USDT,SUI,26,266.9416,2.6694,1.0262,6.6203,15,11,57.6923,1.5998,2.1123,215.2857
2026_01_05,NEAR/USDT:USDT,NEAR,39,148.413,1.4841,0.3808,3.6499,19,20,48.7179,1.239,1.9128,197.1641
2026_01_05,ICP/USDT:USDT,ICP,28,147.9587,1.4796,0.5287,3.6386,18,10,64.2857,1.294,1.5739,158.9082
2026_01_05,XLM/USDT:USDT,XLM,14,119.6541,1.1965,0.8542,2.9366,9,5,64.2857,1.7767,1.3412,134.9407
2026_01_05,SOL/USDT:USDT,SOL,24,97.248,0.9725,0.4058,2.3829,12,12,50.0,1.2905,1.4599,145.9859
2026_01_05,MANA/USDT:USDT,MANA,28,91.4768,0.9148,0.3269,2.2405,15,13,53.5714,1.2325,1.259,127.7025
2026_01_05,APT/USDT:USDT,APT,7,86.6079,0.8661,1.2366,2.1206,4,3,57.1429,4.0042,0.2358,23.8292
2026_01_05,FET/USDT:USDT,FET,39,69.9329,0.6993,0.1792,1.7102,22,17,56.4103,1.1186,2.1862,222.6495
2026_01_05,OP/USDT:USDT,OP,12,64.8123,0.6481,0.5398,1.5844,5,7,41.6667,1.9341,0.3676,36.8794
2026_01_05,DOGE/USDT:USDT,DOGE,5,33.9026,0.339,0.6782,0.827,3,2,60.0,3.9946,0.113,11.3212
2026_01_05,ETH/USDT:USDT,ETH,2,26.2323,0.2623,1.3118,0.6395,1,1,50.0,2.5228,0.1715,17.2268
2026_01_05,LTC/USDT:USDT,LTC,17,21.6316,0.2163,0.1273,0.5272,10,7,58.8235,1.1743,0.5822,58.6917
2026_01_05,ETC/USDT:USDT,ETC,5,13.1639,0.1316,0.2632,0.3206,3,2,60.0,1.2406,0.4381,44.0607
2026_01_05,MKR/USDT:USDT,MKR,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2026_01_05,COMP/USDT:USDT,COMP,4,-30.5413,-0.3054,-0.7632,-0.7415,2,2,50.0,0.5758,0.6641,66.6479
