date,profit,exit_reason,raw_profit,pair,candidate_id,template,side,regime,hold
2024-09-26 14:15:00+00:00,-0.01075513869550565,fixed_hold,-0.0860411095640452,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-09-26 15:50:00+00:00,0.0032888761165946194,fixed_hold,0.026311008932756955,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-09-27 06:10:00+00:00,-0.001049832522277638,fixed_hold,-0.008398660178221103,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-09-27 14:15:00+00:00,-0.0010734848341620302,fixed_hold,-0.008587878673296242,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-09-27 14:30:00+00:00,0.0053565015655061,fixed_hold,0.0428520125240488,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-09-30 23:45:00+00:00,0.0030460992907800914,fixed_hold,0.02436879432624073,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-10-01 17:25:00+00:00,0.003293626707132014,fixed_hold,0.026349013657056112,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-10-06 14:50:00+00:00,0.0027465745886756103,fixed_hold,0.021972596709404883,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-10-07 00:25:00+00:00,-0.009730215971070655,fixed_hold,-0.07784172776856524,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-10-07 00:45:00+00:00,-0.004312269848774475,fixed_hold,-0.0344981587901958,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-10-07 11:10:00+00:00,0.000994768310911776,fixed_hold,0.007958146487294208,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-10-07 23:05:00+00:00,0.0009290818149339524,fixed_hold,0.007432654519471619,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2024-10-10 05:55:00+00:00,0.007520090732339668,fixed_hold,0.060160725858717345,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-10-10 18:00:00+00:00,-0.0019416492467381747,fixed_hold,-0.015533193973905398,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2024-10-10 18:10:00+00:00,0.00800460666194186,fixed_hold,0.06403685329553488,COMP,5min:COMP:rsi_reversion:long:market_extreme:h24:#7,rsi_reversion,long,market_extreme,24
